date,geography,geography code,Rural Urban,Dwelling Type: All categories: Accommodation type; measures: Value,Dwelling Type: Unshared dwelling: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value,"Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value",Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value,Dwelling Type: Shared dwelling; measures: Value
2011,Talgarth BUA,W37000152,Total,558,558,513,134,216,163,45,33,6,6,0,0
2011,Henfynyw BUA,W37000153,Total,217,217,216,147,55,14,1,0,1,0,0,0
2011,Llanon BUA,W37000154,Total,267,267,236,89,82,65,30,21,6,3,1,0
2011,Montgomery BUA,W37000155,Total,475,475,464,168,134,162,10,3,3,4,1,0
2011,Pentraeth BUA,W37000156,Total,233,233,222,72,99,51,8,3,1,4,3,0
2011,Reynoldston BUA,W37000157,Total,177,177,174,142,29,3,3,1,1,1,0,0
2011,Trawsfynydd BUA,W37000158,Total,281,281,280,48,69,163,0,0,0,0,1,0
2011,Waterston BUA,W37000159,Total,127,127,123,60,56,7,4,2,2,0,0,0
2011,St Brides Major BUA,W37000160,Total,308,308,300,213,80,7,8,3,3,2,0,0
2011,St Donat's BUA,W37000161,Total,78,78,72,30,35,7,6,2,2,2,0,0
2011,Harlech BUA,W37000162,Total,832,832,719,416,167,136,100,73,12,15,13,0
2011,Capel Bangor BUA,W37000163,Total,111,111,108,63,26,19,2,1,0,1,1,0
2011,Cwmavon BUA,W37000164,Total,2334,2334,2127,488,1049,590,207,195,7,5,0,0
2011,Creigiau BUA,W37000165,Total,959,959,948,630,184,134,11,9,0,2,0,0
2011,Trefnant BUA,W37000166,Total,398,398,390,227,127,36,8,6,1,1,0,0
2011,Peniel BUA,W37000167,Total,146,146,143,136,6,1,2,1,1,0,1,0
2011,Coedhirwaun BUA,W37000168,Total,477,477,474,355,51,68,0,0,0,0,3,0
2011,Llanhilleth BUA,W37000169,Total,1367,1367,1275,92,257,926,92,58,23,11,0,0
2011,Maenclochog BUA,W37000170,Total,331,331,315,251,35,29,11,0,9,2,5,0
2011,St Arvans BUA,W37000171,Total,314,313,309,208,71,30,4,0,2,2,0,1
2011,Craig-cefn-parc BUA,W37000172,Total,365,365,340,145,167,28,25,23,1,1,0,0
2011,Brecon BUA,W37000173,Total,3635,3631,3117,854,991,1272,511,359,75,77,3,4
2011,Llanrhaeadr-ym-Mochnant BUA,W37000174,Total,196,196,186,50,110,26,10,5,1,4,0,0
2011,Pontlliw BUA,W37000175,Total,686,686,678,329,279,70,8,4,0,4,0,0
2011,Talacre BUA,W37000176,Total,174,174,148,104,30,14,6,2,0,4,20,0
2011,Cil-y-coed BUA,W37000177,Total,4695,4695,4259,1349,2226,684,434,390,26,18,2,0
2011,Markham BUA,W37000178,Total,592,592,579,35,287,257,13,9,2,2,0,0
2011,Flint Mountain BUA,W37000179,Total,260,260,258,193,53,12,1,0,1,0,1,0
2011,Penyffordd BUA,W37000180,Total,1442,1442,1407,807,537,63,25,16,5,4,10,0
2011,Four Crosses BUA,W37000181,Total,600,600,587,407,151,29,12,5,5,2,1,0
2011,Llannon BUA,W37000182,Total,322,322,315,257,55,3,6,0,5,1,1,0
2011,St Florence BUA,W37000183,Total,298,298,291,189,83,19,6,5,0,1,1,0
2011,Crickhowell BUA,W37000184,Total,937,937,821,413,234,174,115,84,15,16,1,0
2011,Lixwm BUA,W37000185,Total,254,254,251,190,45,16,3,1,1,1,0,0
2011,Kidwelly BUA,W37000186,Total,1206,1206,1137,373,344,420,68,48,13,7,1,0
2011,Pembroke BUA,W37000187,Total,3345,3343,2909,1046,938,925,387,300,41,46,47,2
2011,Llay BUA,W37000188,Total,1926,1926,1793,469,1072,252,90,83,6,1,43,0
2011,Llanfyllin BUA,W37000189,Total,507,507,445,141,163,141,62,35,15,12,0,0
2011,Hill Mountain BUA,W37000190,Total,276,276,270,220,42,8,3,1,2,0,3,0
2011,Tonyrefail BUA,W37000191,Total,3860,3860,3525,611,1660,1254,333,299,14,20,2,0
2011,Bedlinog BUA,W37000192,Total,501,501,473,75,59,339,28,19,7,2,0,0
2011,Deri BUA,W37000193,Total,407,407,387,57,84,246,20,17,2,1,0,0
2011,Penperlleni BUA,W37000194,Total,545,545,527,263,181,83,18,17,1,0,0,0
2011,Dyffryn Cellwen BUA,W37000195,Total,314,314,298,34,197,67,16,14,2,0,0,0
2011,Llangattock BUA,W37000196,Total,286,286,283,169,81,33,3,0,2,1,0,0
2011,Cwmann BUA,W37000197,Total,391,391,379,213,127,39,12,8,3,1,0,0
2011,Spittal BUA,W37000198,Total,194,194,193,142,46,5,1,1,0,0,0,0
2011,Waunllapria BUA,W37000199,Total,301,301,289,145,87,57,11,9,1,1,1,0
2011,Llanwrda BUA,W37000200,Total,125,125,118,78,30,10,7,7,0,0,0,0
2011,Criccieth BUA,W37000201,Total,801,795,679,303,128,248,116,41,52,23,0,6
2011,Bangor-on-Dee BUA,W37000202,Total,504,504,486,334,84,68,18,13,3,2,0,0
2011,Clunderwen BUA,W37000203,Total,272,272,256,119,75,62,12,8,1,3,4,0
2011,Penally BUA,W37000204,Total,385,385,337,239,89,9,46,25,19,2,2,0
2011,Benllech BUA,W37000205,Total,1117,1117,1031,839,152,40,80,41,21,18,6,0
2011,Malltraeth BUA,W37000206,Total,120,120,116,50,28,38,4,2,1,1,0,0
2011,Fochriw BUA,W37000207,Total,497,497,488,25,316,147,9,7,2,0,0,0
2011,Guilsfield BUA,W37000208,Total,564,564,534,349,172,13,29,23,5,1,1,0
2011,Llandrindod Wells BUA,W37000209,Total,2583,2575,1880,778,669,433,692,447,198,47,3,8
2011,Tregarth BUA,W37000210,Total,535,535,523,196,147,180,12,4,5,3,0,0
2011,Seven Sisters BUA,W37000211,Total,866,866,834,131,496,207,30,25,4,1,2,0
2011,Llanbedr BUA,W37000212,Total,176,176,162,69,68,25,12,6,3,3,2,0
2011,Pen-clawdd BUA,W37000213,Total,841,841,793,327,272,194,48,39,7,2,0,0
2011,Bryngwran BUA,W37000214,Total,180,180,175,56,63,56,3,0,2,1,2,0
2011,Higher Kinnerton BUA,W37000215,Total,660,660,651,465,151,35,9,2,5,2,0,0
2011,Cilgerran BUA,W37000216,Total,385,385,377,157,116,104,7,2,5,0,1,0
2011,Blaenau BUA,W37000217,Total,173,173,169,97,50,22,2,1,1,0,2,0
2011,Arddleen BUA,W37000218,Total,171,171,166,134,21,11,5,5,0,0,0,0
2011,Underwood BUA,W37000219,Total,824,824,794,71,226,497,30,29,1,0,0,0
2011,Llandysul BUA,W37000220,Total,685,685,590,237,232,121,94,50,27,17,1,0
2011,Heol-y-Cyw BUA,W37000221,Total,239,239,206,59,87,60,32,30,1,1,1,0
2011,Bethel BUA,W37000222,Total,461,461,459,198,137,124,2,0,1,1,0,0
2011,Coelbren BUA,W37000223,Total,239,239,235,88,120,27,4,2,0,2,0,0
2011,Beaumaris BUA,W37000224,Total,739,739,628,152,128,348,111,55,37,19,0,0
2011,Milford Haven BUA,W37000225,Total,6028,6025,4945,1327,1966,1652,1069,907,93,69,11,3
2011,Rogiet BUA,W37000226,Total,698,698,670,243,317,110,27,23,4,0,1,0
2011,Dwygyfylchi BUA,W37000227,Total,626,626,604,194,323,87,10,5,0,5,12,0
2011,Llanbedrog BUA,W37000228,Total,284,284,262,158,63,41,21,13,3,5,1,0
2011,Rhossili BUA,W37000229,Total,114,114,113,84,22,7,0,0,0,0,1,0
2011,New Tredegar BUA,W37000230,Total,1780,1780,1633,129,183,1321,147,111,26,10,0,0
2011,Bodelwyddan BUA,W37000231,Total,734,734,717,332,295,90,16,11,2,3,1,0
2011,Norton (Powys) BUA,W37000232,Total,176,176,176,144,22,10,0,0,0,0,0,0
2011,Wick (The Vale of Glamorgan) BUA,W37000233,Total,291,290,283,186,87,10,7,5,0,2,0,1
2011,Cross Lanes BUA,W37000234,Total,242,242,232,170,40,22,10,1,9,0,0,0
2011,Waun-Lwyd BUA,W37000235,Total,624,624,608,211,57,340,16,8,2,6,0,0
2011,Llansteffan BUA,W37000236,Total,216,216,207,83,70,54,8,1,6,1,1,0
2011,Llwyngwril BUA,W37000237,Total,236,236,228,133,61,34,6,5,1,0,2,0
2011,Caerwys BUA,W37000238,Total,437,437,415,208,121,86,21,10,8,3,1,0
2011,Llanfihangel yn Nhowyn BUA,W37000239,Total,277,277,273,34,130,109,4,2,2,0,0,0
2011,Llanilar BUA,W37000240,Total,428,428,420,230,152,38,7,0,5,2,1,0
2011,Llandogo BUA,W37000241,Total,203,203,191,120,37,34,12,6,6,0,0,0
2011,Llanfair Caereinion BUA,W37000242,Total,447,447,411,175,144,92,34,17,10,7,2,0
2011,Llandudno BUA,W37000243,Total,7063,7019,4226,1050,1853,1323,2792,1827,781,184,1,44
2011,Pen-twyn (Caerphilly) BUA,W37000244,Total,650,650,626,72,448,106,24,21,0,3,0,0
2011,Cosheston BUA,W37000245,Total,336,336,329,255,68,6,4,1,2,1,3,0
2011,Rhayader BUA,W37000246,Total,878,878,736,263,211,262,141,87,23,31,1,0
2011,Pencader BUA,W37000247,Total,473,473,445,195,196,54,27,19,6,2,1,0
