date,geography,geography code,Rural Urban,Dwelling Type: All categories: Accommodation type; measures: Value,Dwelling Type: Unshared dwelling: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value,"Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value",Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value,Dwelling Type: Shared dwelling; measures: Value
2011,Barry BUA,W37000342,Total,23503,23492,19658,3970,7677,8011,3830,3060,529,241,4,11
2011,Trearddur BUA,W37000343,Total,707,705,665,584,58,23,40,21,18,1,0,2
2011,Ffairfach BUA,W37000344,Total,232,232,215,72,82,61,14,4,7,3,3,0
2011,Pontrhydyfen BUA,W37000345,Total,372,372,347,90,138,119,25,24,1,0,0,0
2011,Llanfairfechan BUA,W37000346,Total,1527,1515,1356,469,552,335,157,72,60,25,2,12
2011,Abercynon BUA,W37000347,Total,2543,2543,2373,188,607,1578,169,106,36,27,1,0
2011,Menai Bridge BUA,W37000348,Total,2186,2177,1913,994,538,381,261,183,52,26,3,9
2011,Carno BUA,W37000349,Total,329,329,325,211,61,53,2,0,2,0,2,0
2011,Dolgellau BUA,W37000350,Total,1280,1273,1084,390,296,398,187,131,34,22,2,7
2011,Llangadog BUA,W37000351,Total,281,281,260,140,84,36,21,15,3,3,0,0
2011,Catbrook BUA,W37000352,Total,163,163,163,138,24,1,0,0,0,0,0,0
2011,Mynytho BUA,W37000353,Total,250,250,247,166,49,32,1,0,0,1,2,0
2011,Monmouth BUA,W37000354,Total,4363,4341,3594,1541,1252,801,714,548,99,67,33,22
2011,Sageston BUA,W37000355,Total,321,321,313,135,157,21,6,0,5,1,2,0
2011,Coedpoeth BUA,W37000356,Total,2451,2448,2256,731,997,528,189,157,13,19,3,3
2011,Porthmadog BUA,W37000357,Total,1385,1385,1123,273,251,599,258,151,31,76,4,0
2011,Keeston BUA,W37000358,Total,156,156,155,113,39,3,1,0,0,1,0,0
2011,Carmarthen BUA,W37000359,Total,6930,6918,5845,1993,2011,1841,1067,753,241,73,6,12
2011,Dinas Cross BUA,W37000360,Total,383,383,355,196,100,59,16,10,3,3,12,0
2011,Haverfordwest BUA,W37000361,Total,6448,6422,5340,1707,1980,1653,1030,760,179,91,52,26
2011,Llangynidr BUA,W37000362,Total,426,426,421,324,89,8,5,2,0,3,0,0
2011,Merthyr Tydfil BUA,W37000363,Total,18112,18102,16853,2681,5128,9044,1237,989,131,117,12,10
2011,Newport (Pembrokeshire) BUA,W37000364,Total,442,442,390,143,137,110,50,30,9,11,2,0
2011,Llanbradach BUA,W37000365,Total,1589,1589,1427,92,594,741,162,133,19,10,0,0
2011,Blaenavon BUA,W37000366,Total,2473,2473,2079,236,475,1368,394,339,25,30,0,0
2011,Neyland BUA,W37000367,Total,1656,1656,1523,460,623,440,130,99,21,10,3,0
2011,St Davids BUA,W37000368,Total,673,673,605,219,221,165,64,36,10,18,4,0
2011,Tal-y-bont (Gwynedd) BUA,W37000369,Total,751,751,699,440,161,98,29,18,6,5,23,0
2011,Crymlyn Burrows BUA,W37000370,Total,135,135,117,7,63,47,18,16,1,1,0,0
2011,Caerwent BUA,W37000371,Total,482,482,393,241,100,52,89,85,4,0,0,0
2011,Pen-twyn (Monmouthshire) BUA,W37000372,Total,138,138,138,132,5,1,0,0,0,0,0,0
2011,Meifod BUA,W37000373,Total,136,136,122,60,39,23,14,11,2,1,0,0
2011,Cerrigydrudion BUA,W37000374,Total,143,143,140,48,48,44,3,2,1,0,0,0
2011,Pentre-cwrt BUA,W37000375,Total,107,107,103,54,44,5,4,2,2,0,0,0
2011,Wrexham BUA,W37000376,Total,27904,27866,23737,6857,10471,6409,4123,3683,283,157,6,38
2011,Llantwit Major BUA,W37000377,Total,5660,5657,5306,1735,2043,1528,194,140,23,31,157,3
2011,Treharris BUA,W37000378,Total,5048,5048,4897,1088,1849,1960,138,97,7,34,13,0
2011,Gronant BUA,W37000379,Total,557,557,544,210,204,130,6,1,2,3,7,0
2011,Hope (Flintshire) BUA,W37000380,Total,1973,1973,1879,747,873,259,88,50,28,10,6,0
2011,Kinmel Bay/Abergele BUA,W37000381,Total,8451,8451,7687,4477,2567,643,743,551,125,67,21,0
2011,Gorseinon BUA,W37000382,Total,8773,8771,7824,2471,4031,1322,943,797,92,54,4,2
2011,Hendreforgan/Gilfach Goch BUA,W37000383,Total,1844,1844,1673,234,881,558,170,147,19,4,1,0
2011,Cardiff BUA,W37000384,Total,185286,184664,141624,25706,57214,58704,42849,33280,8119,1450,191,622
2011,Newport (Newport) BUA,W37000385,Total,128894,128679,111782,20786,43711,47285,16831,13969,1983,879,66,215
2011,Buckley BUA,W37000386,Total,26569,26560,24470,9529,10981,3960,1909,1474,257,178,181,9
2011,Cardigan BUA,W37000387,Total,2564,2562,2175,806,786,583,384,218,90,76,3,2
2011,Aberporth BUA,W37000388,Total,771,771,718,313,360,45,52,32,12,8,1,0
2011,Caernarfon BUA,W37000389,Total,4326,4324,3648,735,1338,1575,674,516,97,61,2,2
2011,Pentre Maelor BUA,W37000390,Total,111,111,109,12,74,23,2,0,1,1,0,0
2011,Ammanford BUA,W37000391,Total,10170,10168,9502,3783,4540,1179,639,479,85,75,27,2
2011,Burry Port BUA,W37000392,Total,3683,3683,3441,1248,1436,757,236,178,30,28,6,0
2011,Kilgetty BUA,W37000393,Total,841,841,750,460,244,46,51,43,5,3,40,0
2011,Bridgend BUA,W37000394,Total,24491,24450,21837,6703,10360,4774,2605,2291,204,110,8,41
2011,Llanddulas/Mynydd Marian BUA,W37000395,Total,1134,1134,1085,434,507,144,49,33,13,3,0,0
2011,Maesteg BUA,W37000396,Total,8955,8954,8370,1162,3137,4071,582,460,71,51,2,1
2011,Gaerwen BUA,W37000397,Total,679,679,671,301,269,101,7,2,4,1,1,0
2011,Aberystwyth BUA,W37000398,Total,6554,6430,4154,1119,1356,1679,2222,1367,691,164,54,124
2011,Aberdare BUA,W37000399,Total,13592,13584,12241,2167,2993,7081,1317,1152,96,69,26,8
2011,Gwaun-Cae-Gurwen/Brynamman BUA,W37000400,Total,2458,2458,2300,655,1225,420,153,118,21,14,5,0
2011,Rhosllanerchrugog BUA,W37000401,Total,10836,10832,9714,2661,4577,2476,1108,962,86,60,10,4
2011,Ebbw Vale BUA,W37000402,Total,14163,14163,12633,1658,4435,6540,1513,1269,107,137,17,0
2011,Saundersfoot BUA,W37000403,Total,1506,1503,1258,811,346,101,230,179,30,21,15,3
2011,Rhigos BUA,W37000404,Total,305,305,297,83,196,18,7,6,1,0,1,0
2011,Cwmfelinfach/Ynysddu BUA,W37000405,Total,988,988,923,66,115,742,65,29,29,7,0,0
2011,Welshpool BUA,W37000406,Total,2661,2650,2148,698,793,657,485,381,42,62,17,11
2011,Rhyl/Prestatyn BUA,W37000407,Total,20270,20199,17285,7985,7301,1999,2883,2014,609,260,31,71
2011,Colwyn Bay BUA,W37000408,Total,15210,15195,11585,4638,4943,2004,3607,2242,1144,221,3,15
2011,Llanelli BUA,W37000409,Total,21381,21359,19492,4081,7833,7578,1819,1363,313,143,48,22
2011,Undy BUA,W37000410,Total,2292,2292,2211,1437,527,247,62,57,2,3,19,0
2011,Flint BUA,W37000411,Total,10937,10922,9703,2922,5086,1695,1214,1060,75,79,5,15
2011,Ogmore Vale/Nant-y-moel BUA,W37000412,Total,2420,2418,2211,193,393,1625,204,150,34,20,3,2
2011,Bethesda BUA,W37000413,Total,2058,2058,1901,350,664,887,157,86,45,26,0,0
2011,Llantrisant BUA,W37000414,Total,6086,6086,5603,2213,2260,1130,476,362,65,49,7,0
2011,Rhymney BUA,W37000415,Total,3719,3719,3175,340,991,1844,543,492,21,30,1,0
2011,Gwernaffield-y-Waun/Pantymwyn BUA,W37000416,Total,759,759,757,555,164,38,2,0,1,1,0,0
2011,Abergavenny BUA,W37000417,Total,6620,6612,5420,1721,2070,1629,1189,981,127,81,3,8
2011,Marshfield (Newport) BUA,W37000418,Total,1121,1121,1083,739,161,183,36,31,1,4,2,0
2011,Bangor BUA,W37000419,Total,5966,5917,4937,900,1781,2256,977,694,196,87,3,49
2011,Bryn Pydew BUA,W37000420,Total,4880,4877,4307,1836,1900,571,521,371,112,38,49,3
2011,Mynydd-bach/Shirenewton BUA,W37000421,Total,267,267,264,220,33,11,2,0,0,2,1,0
2011,Tonypandy BUA,W37000422,Total,27258,27245,25176,1970,3483,19723,2064,1587,252,225,5,13
2011,St Clears BUA,W37000423,Total,1095,1095,1014,541,309,164,74,40,18,16,7,0
2011,Church Village BUA,W37000424,Total,9446,9446,9021,2670,4702,1649,423,368,15,40,2,0
2011,Glyn-neath BUA,W37000425,Total,2336,2333,2077,362,1191,524,256,224,19,13,0,3
2011,Fairbourne BUA,W37000426,Total,383,383,368,205,121,42,12,2,6,4,3,0
2011,Swansea BUA,W37000427,Total,130829,130495,110403,25228,47881,37294,19881,16352,2636,893,211,334
